,ABB.ST.csv_AdjClose,ABB.ST.csv_Volume,ALFA.ST.csv_AdjClose,ALFA.ST.csv_Volume,ALIV-SDB.ST.csv_AdjClose,ALIV-SDB.ST.csv_Volume,ASSA-B.ST.csv_AdjClose,ASSA-B.ST.csv_Volume,ATCO-A.ST.csv_AdjClose,ATCO-A.ST.csv_Volume,ATCO-B.ST.csv_AdjClose,ATCO-B.ST.csv_Volume,AZN.ST.csv_AdjClose,AZN.ST.csv_Volume,BOL.ST.csv_AdjClose,BOL.ST.csv_Volume,ELUX-B.ST.csv_AdjClose,ELUX-B.ST.csv_Volume,ERIC-B.ST.csv_AdjClose,ERIC-B.ST.csv_Volume,ESSITY-B.ST.csv_AdjClose,ESSITY-B.ST.csv_Volume,GETI-B.ST.csv_AdjClose,GETI-B.ST.csv_Volume,HEXA-B.ST.csv_AdjClose,HEXA-B.ST.csv_Volume,HM-B.ST.csv_AdjClose,HM-B.ST.csv_Volume,INVE-B.ST.csv_AdjClose,INVE-B.ST.csv_Volume,KINV-B.ST.csv_AdjClose,KINV-B.ST.csv_Volume,SAND.ST.csv_AdjClose,SAND.ST.csv_Volume,SCA-B.ST.csv_AdjClose,SCA-B.ST.csv_Volume,SEB-A.ST.csv_AdjClose,SEB-A.ST.csv_Volume,SECU-B.ST.csv_AdjClose,SECU-B.ST.csv_Volume,SHB-A.ST.csv_AdjClose,SHB-A.ST.csv_Volume,SKA-B.ST.csv_AdjClose,SKA-B.ST.csv_Volume,SKF-B.ST.csv_AdjClose,SKF-B.ST.csv_Volume,SSAB-A.ST.csv_AdjClose,SSAB-A.ST.csv_Volume,SWED-A.ST.csv_AdjClose,SWED-A.ST.csv_Volume,SWMA.ST.csv_AdjClose,SWMA.ST.csv_Volume,TEL2-B.ST.csv_AdjClose,TEL2-B.ST.csv_Volume,TELIA.ST.csv_AdjClose,TELIA.ST.csv_Volume,VOLV-B.ST.csv_AdjClose,VOLV-B.ST.csv_Volume,OMXS30_Close
250,165.050003,1843068,188.850006,1106030,622.091919,208136,155.850006,1852903,207.600006,2147076,191.179993,914766,660.559204,645007,189.100006,1414234,180.354172,1597541,74.515648,8698916,209.368835,1342510,78.065323,1590490,398.840942,740874,125.019997,7077249,368.5,1353493,208.300003,801234,124.849998,3480959,66.539764,2296983,79.506058,4222354,138.399994,805742,91.421837,4731445,133.787476,1317625,126.214561,2332101,28.719425,5565386,174.620468,3150585,336.417206,566974,106.25,2213646,40.012569,14275601,110.186272,5155006,1384.589966
251,170.649994,2042172,189.649994,935600,629.286072,170820,158.149994,1562176,210.5,1666928,193.320007,689105,672.43689,470038,191.979996,1408287,183.792297,1273841,77.006088,9825138,212.89093,1272325,79.255646,1596188,407.530945,663763,126.019997,6398445,375.600006,1232422,213.699997,755001,126.349998,2172716,67.28389,2450709,80.667816,3955195,142.25,1064163,93.185051,4417104,136.153244,1289979,129.341064,2276553,29.286131,3682736,177.995865,2631579,341.00827,463468,112.949997,5479374,40.819626,11906874,112.169426,4174087,1408.73999
252,169.199997,1432144,188.199997,931863,629.485901,259370,156,1865388,210.399994,1852312,193.899994,631727,676.32959,466350,187.039993,2073609,183.546707,1011512,76.235237,6423142,213.477936,1161879,77.866936,1034996,411.226685,655337,127.059998,4743927,373.5,1056045,212.300003,558592,125.75,2401099,67.53846,2435792,80.780251,3201467,138,1504408,93.564232,3535681,136.104965,1235838,126.647461,3594664,29.247711,4857339,178.2659,1924197,337.394043,422789,110.5,2118702,40.994652,7153140,111.637367,3435741,1405.849976
253,168.199997,1194232,184.300003,739599,612.499817,203261,154.449997,1361773,205,1830588,188.5,658551,693.197937,574511,182.919998,1297654,179.470062,1555212,74.080803,6878200,212.695251,923930,76.696449,1328676,392.348389,822714,126.199997,4714876,371,838112,211.699997,658763,122.699997,2540169,65.443169,3328546,81.398605,4465847,137.649994,937122,93.640076,2614269,136.008408,623089,125.156372,3463328,28.546532,2778022,178.400909,1643869,345.110901,473468,111.449997,1689629,41.55862,11255959,110.137901,3143939,1393.52002
254,171.600006,1170516,192.050003,969644,624.889709,232939,158.25,1604819,217.5,2312148,200.050003,819177,700.983276,360628,194.279999,1987227,184.136093,1422544,75.859695,6646606,213.673615,1351909,77.232101,1404321,401.637726,1159161,130.479996,4189054,381.399994,1016745,217.399994,673747,129.600006,3068481,68.145493,3033571,83.7034,3560239,141.5,1011728,95.55497,4303798,139.629501,883308,131.265076,2342226,29.968098,3798119,183.26149,2334581,351.362579,400832,112.949997,1618380,41.762814,7686898,115.023247,5896522,1435.290039
255,170.75,860440,194.100006,937679,630.085388,148285,159.800003,2285425,222,2585007,203.949997,869539,691.800537,467356,197.080002,1264989,186.149857,1092606,77.203751,5820809,212.401749,873831,78.898552,1079554,411.526337,910801,130.580002,3067542,383.100006,825952,219,523443,131,2463987,68.341316,1853288,82.148132,5956442,141.25,910621,94.531166,3521339,141.222778,1023054,136.17128,3409544,30.246647,3384428,183.531509,2227192,349.995026,483111,112.25,1278520,41.626686,9504348,113.814003,4762419,1439.930054
256,173.449997,1290001,196.75,1441494,660.260803,299006,161.25,1711103,225.5,2880510,207.600006,736009,682.418152,569903,200.100006,1735561,192.092896,1529207,78.03389,8110316,212.89093,1081578,80.346771,1156592,414.522888,764744,133.899994,5367076,390.399994,1207908,222,579273,134.5,4506345,69.14418,2851611,83.028831,4244185,140.699997,1054734,93.886543,4698193,142.719513,1574195,137.806686,2765913,30.477169,4632346,183.891571,2204809,354.976807,523016,113.599998,2358574,41.694752,13552771,117.683586,6443797,1457.469971
257,175.699997,1123364,197.300003,1001494,686.239563,256500,161.699997,1737924,226.399994,1889896,208.149994,639171,680.421936,548028,205.600006,2088222,197.250092,1381128,80.50457,9243872,219.348099,2348966,82.826614,948708,416.920135,598663,134.479996,3557171,391.399994,1073001,225.899994,770098,135.850006,3252926,71.161133,3977092,83.197479,2611093,141.949997,761043,93.962387,3536177,144.988724,1419360,139.971191,2323893,31.284002,3665761,184.971695,1910385,354.781464,598710,112.599998,2061386,41.655853,9508738,118.070541,4074105,1470.51001
258,176.550003,955143,197.25,858731,683.441895,359623,159.449997,1798896,224.949997,1327568,207.800003,617981,678.226013,436165,206,2052182,198.03595,785808,77.381638,15762285,222.870193,1106997,82.132263,977748,414.722687,638113,135.179993,4967667,394.100006,903196,226.800003,565050,134,3620624,73.060593,3690757,84.377975,3593149,142.699997,669629,95.412773,3985737,146.533722,1123090,139.490189,2017266,31.120718,3235514,187.581985,3037678,369.04303,845475,112,1924285,41.685024,11500660,117.103149,3611206,1470.689941
259,173.100006,2747270,197.850006,1112615,668.653931,413084,159.25,1876997,223.449997,1339117,206.350006,543136,665.849243,526157,203.350006,1799487,200.000595,1696221,75.108612,14005248,221.402649,952285,81.675964,770841,420.316223,590252,134.839996,2535736,394,942073,225,782396,134.5,2205760,72.571037,2729817,83.890785,4034349,144.350006,603354,94.796593,2944333,148.658096,1024164,139.442078,2383202,31.322424,2511438,188.482086,2691158,379.495026,924405,112.699997,1727544,41.422485,10344741,116.812927,3470357,1465.430054
