ABB.ST.csv_AdjClose,ALFA.ST.csv_AdjClose,ALIV-SDB.ST.csv_AdjClose,ASSA-B.ST.csv_AdjClose,ATCO-A.ST.csv_AdjClose,ATCO-B.ST.csv_AdjClose,AZN.ST.csv_AdjClose,BOL.ST.csv_AdjClose,ELUX-B.ST.csv_AdjClose,ERIC-B.ST.csv_AdjClose,ESSITY-B.ST.csv_AdjClose,GETI-B.ST.csv_AdjClose,HEXA-B.ST.csv_AdjClose,HM-B.ST.csv_AdjClose,INVE-B.ST.csv_AdjClose,KINV-B.ST.csv_AdjClose,SAND.ST.csv_AdjClose,SCA-B.ST.csv_AdjClose,SEB-A.ST.csv_AdjClose,SECU-B.ST.csv_AdjClose,SHB-A.ST.csv_AdjClose,SKA-B.ST.csv_AdjClose,SKF-B.ST.csv_AdjClose,SSAB-A.ST.csv_AdjClose,SWED-A.ST.csv_AdjClose,SWMA.ST.csv_AdjClose,TEL2-B.ST.csv_AdjClose,TELIA.ST.csv_AdjClose,VOLV-B.ST.csv_AdjClose,XOMX30.csv_AdjClose
193.574402,190.732437,1226.546387,172.123917,261.290344,230.892487,570.866882,274.96051,248.058273,52.086655,213.140549,92.038704,484.922455,113.414993,353.564087,273.55304,146.382141,84.065697,80.948891,135.524338,94.891388,146.840866,163.876923,43.114677,165.979462,352.272217,94.412712,35.334393,141.004623,1510.109985
194.968811,189.849655,1183.168335,173.253403,259.215271,227.985428,585.624634,272.303894,243.800964,52.33884,217.52536,91.785103,486.91803,114.727882,355.115692,274.106476,145.404953,85.808495,80.911415,137.031769,96.408134,145.968369,162.385818,42.691338,167.734665,355.89505,95.570435,36.114704,140.064606,1512.130005
196.811432,193.380814,1199.62207,177.13295,267.739655,235.834656,583.630371,277.522278,248.342056,52.299309,219.81311,92.604439,494.900269,117.391182,358.024872,277.431854,148.971664,87.061745,81.923279,137.858444,98.778046,148.89122,164.02121,44.215355,168.319733,359.899231,96.62204,35.995361,143.119705,1535.349976
194.669998,191.026703,1228.540649,172.762314,259.808594,228.276718,589.114685,277.047852,248.247452,51.528458,216.572144,91.19986,482.228424,116.359619,355.794434,274.476044,147.017303,86.18055,80.068199,135.961975,95.934151,143.61264,163.011108,43.415718,166.519531,358.469177,95.840569,35.940285,139.218582,1508.800049
184.5,188.819733,1242.501343,170.945328,252.765976,221.735397,582.63324,270.50119,242.098038,50.915733,217.144089,90.439049,472.749481,116.84726,352.691345,270.689636,145.014069,85.730164,80.14315,134.308655,96.076347,142.827393,159.499817,43.152306,166.744553,362.09198,95.12664,35.857662,137.52652,1494.650024
191.300003,194.803116,1235.022461,176.052567,258.993164,228.276718,597.490784,278.37616,246.071518,52.496964,219.717789,93.131157,483.82486,118.103889,361.418945,279.094086,149.362549,87.277145,81.642204,138.393341,97.308701,145.57576,164.165512,44.459949,169.489868,370.481689,98.213921,36.665508,141.239639,1527.219971
188.399994,193.184647,1232.030884,175.119522,255.879578,225.805649,594.399536,273.062897,245.254318,52.200481,216.953445,93.716393,485.421326,118.403984,359.091553,281.310699,147.750183,87.355476,80.180634,137.66394,95.649765,152.87291,164.165512,44.215355,166.969574,368.574951,97.345619,36.683872,139.691803,1511.369995
189.550003,192.44899,1226.546387,175.905258,257.510406,227.622299,595.995056,274.391235,246.215714,52.022594,214.951675,93.677376,487.915771,118.44149,358.703644,280.109528,148.678513,86.94426,79.899551,136.691391,95.270576,153.515411,164.742722,44.102467,166.204483,368.479614,97.056183,36.491089,140.320618,1511.319946
191.600006,193.822235,1245.991577,176.985626,262.402924,232.637283,604.869629,279.799377,248.907639,52.516731,215.046997,93.072624,494.50116,120.035713,363.649292,283.250092,151.610062,87.825439,80.180634,139.852173,95.317978,151.03714,168.013519,45.720558,166.699539,368.00293,97.345619,36.050442,145.012482,1526.76001
189.5,191.61525,1235.022461,173.498947,257.584473,227.18634,605.168762,277.996643,245.446594,52.259781,210.090225,92.175262,489.61203,121.930031,356.279327,281.772705,150.24202,87.90377,78.025734,139.122757,93.241928,149.476746,166.955322,45.672531,162.73909,365.428802,98.455109,35.530304,144.383682,1504.709961
